OBJECTID,GlobalID,Municipality,MunicipalityNumber,PlanningRegion,CouncilOfGovernment,MetropolitanPlanningOrganizatio,County,DEMHSRegion,StatePoliceTroop,DOTMunicipalityNumber,DOTConstructionDistrict,DOTHighwayOperationsCenter,TransportationManagementArea,OzoneDesignatedArea,PM25DesignatedArea,CarbonMonoxideDesignatedArea,TransitDistrict,SquareMiles,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
139,ef246700-7210-43b3-9e51-49d3103859fb,Suffield,139,Capital,Capital Region,Capital Region,Hartford,3,H,139,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,43.03138765,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1199646236.77899,158128.444799851
140,ebe4f4c8-c95b-4867-9021-70823ec41c19,Thomaston,140,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,Litchfield,5,L,140,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,3,Greater Waterbury,12.14410528,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,338558224.492737,110815.66934514
141,3600b33f-3e7a-479a-8480-c911779ff28c,Thompson,141,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,141,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Northeastern CT,48.85287252,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1361939920.43835,149460.357550834
142,20ec200c-f2ed-43de-aeef-37c51517113c,Tolland,142,Capital,Capital Region,Capital Region,Tolland,3,C,142,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,40.21798573,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1121213092.81915,141773.600267637
143,36c6b968-3ea9-4ade-807f-81380f0edad9,Torrington,143,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,143,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,40.30499158,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1123638676.66644,154808.528034174
144,9b93a548-1651-4600-8bac-14d1d951192f,Trumbull,144,Greater Bridgeport,CT Metropolitan,Greater Bridgeport Valley,Fairfield,1,G,144,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Greater Bridgeport,23.59001443,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,657651857.807678,113833.926131357
145,32462cf9-f63d-40ab-b35c-189fd8e99bb4,Union,145,Northeastern Connecticut,Northeastern CT,Northeastern CT,Tolland,4,C,145,1,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,29.6123955,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,825546206.199524,118083.479413418
146,230556fe-7fb2-4472-b3ba-d2aa2e61d1d3,Vernon,146,Capital,Capital Region,Capital Region,Tolland,3,C,146,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,18.12638801,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,505334695.153198,93904.2770117837
147,6cbd146c-5b0a-4d16-b5c8-3baaec65725b,Voluntown,147,Northeastern Connecticut,Northeastern CT,Northeastern CT,New London,4,E,147,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,39.77389439,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1108832536.67981,141696.187340382
148,c6b30e52-cba4-4751-bb4b-46e17b747f8a,Wallingford,148,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,148,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,,40.31343603,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1123874094.40063,147112.264437353
149,2a029d75-51fe-401e-b534-5adfa195a39c,Warren,149,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,L,149,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,27.49396344,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,766487709.781006,106478.601400991
150,d0fc39d5-11ec-44ef-ab95-014c55362488,Washington,150,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,L,150,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,,38.64239453,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1077288131.05615,133885.503152964
151,09656209-f025-45df-b527-d84d506cf74a,Waterbury,151,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,5,A,151,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater Waterbury,28.99071857,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,808214848.040405,125087.334346403
152,d1e2ed9d-12cb-4248-825d-4f2b9f04c07f,Waterford,152,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,152,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,34.94540233,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,974221903.658875,178092.976701808
153,5a8b3255-c972-4c83-a6b0-255353d9b5cb,Watertown,153,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,Litchfield,5,L,153,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,3,Greater Waterbury,29.63005412,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,826038500.213562,129509.520291096
154,3893de24-d36e-45fe-b8da-0b84db80b364,West Hartford,155,Capital,Capital Region,Capital Region,Hartford,3,H,155,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,22.36876604,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,623605406.832642,110460.043086605
155,f6244112-432e-4cc5-afa8-594b0c0bfdc4,West Haven,156,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,156,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,10.92476346,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,304564925.552612,105797.039230458
156,7435e16a-f46e-4dfa-8658-a4b3a3601623,Westbrook,154,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,154,2,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,16.08121075,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,448318425.62793,130340.026866251
